"account_id","churn"
62437,False
51640,False
51720,False
7851,False
11809,False
11683,False
278,False
51796,False
65333,False
44640,False
238,False
351,False
368,False
2720,False
23853,False
45643,False
12117,False
24810,False
66309,False
44058,False
8828,False
51816,False
11056,False
51125,False
51846,False
55515,False
52576,False
9688,False
9763,False
19494,False
27805,False
19330,False
65969,False
56152,False
9661,False
65175,False
63126,False
41668,False
9020,False
27105,True
18085,False
29267,False
30605,False
30655,False
35777,False
37920,False
60189,False
47592,False
65760,False
66310,False
64695,False
10738,True
10465,False
9406,False
253,False
547,False
21057,True
20114,False
27498,False
27261,True
24402,False
31528,False
27505,True
29844,True
65165,False
66514,False
16177,False
629,False
65588,False
52237,False
52391,False
35575,False
12015,False
27595,False
13299,True
47708,False
15807,True
665,False
64955,False
21262,False
54795,False
11640,False
56881,False
52847,False
45740,False
30739,True
16428,False
65387,False
66311,False
11091,False
65441,False
52113,False
12490,True
27108,False
23111,False
21974,False
28052,False
29033,False
32987,False
36037,False
28199,False
30769,False
65787,False
66515,False
52148,False
65622,False
52165,False
64544,False
65397,False
198,False
377,False
20854,False
34039,False
10165,False
65431,False
46470,False
11268,False
52722,False
16531,False
27682,False
295,False
30789,False
341,False
45529,False
60849,False
35244,True
65762,False
57250,False
11774,True
9910,False
52235,False
39251,True
65184,False
27684,False
59266,False
22048,True
65388,False
715,False
19084,False
823,False
1842,False
11866,False
44796,False
30946,True
51914,False
65340,False
52250,False
1058,False
27917,False
20923,False
52273,False
19343,True
20443,False
22314,False
9981,False
10516,False
23703,False
66598,False
11889,True
19186,False
16919,False
27800,False
27880,False
32168,False
16635,False
52885,False
65970,False
52294,False
48598,False
52314,False
14214,False
18557,False
65163,False
23376,False
414,False
757,False
1565,False
27430,False
49937,False
50975,False
51019,False
65164,False
66516,False
28012,False
11121,False
51907,False
59255,False
65166,False
61785,False
35029,True
3075,False
32303,False
37397,False
50874,False
21507,False
65167,False
28037,False
65252,False
65168,False
28302,True
1710,False
10197,False
52327,False
65169,False
52344,False
64301,False
500,False
22200,False
16914,False
28032,True
10059,False
23389,True
53647,False
55144,False
37052,True
1805,False
49246,False
1852,False
2647,False
9227,False
33157,False
45621,False
45622,False
59581,False
10233,True
28391,False
32992,True
65761,False
1220,False
37210,False
1905,False
65794,False
28642,False
33138,False
35015,False
39184,False
51317,False
65037,False
65170,False
21546,False
52395,False
28506,False
52397,False
60934,False
52415,False
65850,False
17840,False
63105,False
892,False
1040,False
38861,False
1383,False
62268,False
4980,False
19700,False
32050,False
32209,False
35905,False
36937,False
42927,False
40801,False
64439,False
52229,False
65171,False
57442,False
11510,False
64520,False
10317,False
19599,False
27481,False
17317,False
1348,False
22607,False
1344,False
40024,False
45661,False
50090,False
28183,False
40958,False
43543,False
52418,False
52465,False
52471,False
60919,False
11655,False
25171,False
42673,False
65258,False
10447,False
28300,True
1769,False
11702,False
18111,False
62673,False
22683,False
38129,False
11800,False
874,False
65312,False
28719,False
18866,False
19288,False
41256,False
48076,False
13302,False
48271,False
63792,False
10620,False
18256,False
2282,False
8259,False
8482,False
10625,False
9599,False
4326,False
65172,False
49269,False
16575,False
52199,False
52557,False
21922,False
65793,False
433,False
12072,False
1671,False
4236,False
11733,False
12889,False
23934,False
34010,False
40968,False
43921,False
65174,False
65176,False
17865,False
51945,False
65730,False
42815,False
10692,False
16486,False
23021,False
1841,False
2163,False
7192,False
26649,False
30133,False
50976,False
22781,False
10744,True
28674,False
23433,False
10750,False
52265,False
52595,False
52600,False
34379,False
66056,False
44830,False
49101,False
66013,False
52619,False
65309,False
5061,False
1735,False
12807,False
13007,False
31846,False
37095,False
39031,False
49293,False
49580,False
66424,False
43014,False
11047,True
18112,True
23000,False
28749,False
1378,False
53036,False
1796,False
5400,False
28770,False
9117,False
30313,False
34859,False
65177,False
54634,False
65178,False
17779,False
46440,False
20187,False
58187,False
12790,False
28775,False
22942,False
304,False
5769,False
2208,False
1968,False
1332,False
29544,False
43995,False
65886,False
52644,False
52672,False
52673,False
23979,False
52685,False
26521,False
11170,False
52719,False
64034,False
1013,False
1103,False
34663,False
40388,False
54641,False
29401,False
11235,False
33046,False
17306,False
52907,False
50361,False
65179,False
18556,False
22726,False
56869,False
64524,False
1923,False
10948,False
11570,False
11650,False
52730,False
13340,False
1828,False
66316,False
52731,False
16992,False
11269,False
41455,False
28997,False
1382,False
2123,False
26610,False
5066,False
33445,False
34289,False
46361,False
65180,False
51841,False
29417,True
65181,False
52791,False
52798,False
52799,False
29555,False
64024,False
18032,False
17002,False
3197,False
7067,False
16581,False
29660,False
35826,False
41530,False
24666,False
66365,False
61952,False
52836,False
52849,False
43124,False
50432,False
62674,False
60042,False
29042,False
65182,False
61977,False
25,False
481,False
1068,False
1946,False
2039,False
14030,False
18658,False
65461,False
25519,False
1882,False
11372,False
29045,False
52903,False
52904,False
48559,False
52906,False
23459,False
66371,False
42492,False
376,False
52908,False
52912,False
2070,False
2268,False
24001,False
28702,False
28721,False
35056,False
37815,False
50506,False
19414,False
28976,False
52897,False
6515,False
65617,False
25567,False
13580,True
31265,False
4301,False
42703,False
1892,False
2183,False
9931,False
24299,False
28625,False
36080,False
50961,False
29051,False
49980,False
58912,False
52822,False
19625,True
37872,False
65823,False
29078,True
44173,False
2091,False
2186,False
6141,False
9299,False
29179,False
65218,False
66599,False
52920,False
65253,False
52962,False
61117,False
52995,False
52999,False
11524,False
53499,False
28171,False
53001,False
22239,False
23537,False
2146,False
1455,False
65477,False
22181,False
25664,False
55872,False
2190,False
37445,False
39189,False
53045,False
53049,False
64616,False
55611,False
53170,False
65190,False
53186,False
53196,False
60399,False
65004,False
15312,False
806,False
11624,True
17573,True
42117,True
1240,False
29055,False
36365,False
41697,False
53208,False
65852,False
53214,False
53215,False
50565,False
53225,False
29098,False
31986,False
25771,False
19162,False
31720,False
483,False
14414,False
15266,False
36314,False
37310,False
50637,False
61297,False
65220,False
22705,False
65185,False
19658,False
43843,False
48336,False
11738,False
53228,False
53252,False
53276,False
29102,True
55844,False
1196,False
2505,False
19995,False
31125,False
31315,False
65187,False
65119,False
53278,False
27766,False
13928,False
20529,False
14009,True
1900,False
42383,False
18080,False
21528,False
47160,False
54304,False
2155,False
22354,False
29920,False
26749,False
19486,True
14130,False
52146,False
53284,False
12726,False
3884,False
58501,False
59545,False
31270,False
49830,False
20686,False
13428,False
34168,False
34690,False
42490,False
30359,True
45944,False
14170,False
23138,False
53326,False
29289,True
20472,False
21288,False
66097,False
2595,False
24302,False
50674,False
29309,True
27102,False
37739,False
49541,False
49854,False
63903,False
23188,False
53185,False
53985,False
29329,True
61325,False
64476,False
18775,False
23599,False
53422,False
37546,False
51973,False
52878,False
48433,False
24079,False
51992,False
11937,False
14194,True
22678,True
3030,False
18271,False
54992,False
23448,False
5399,False
65217,False
61420,False
31771,False
14480,False
37051,False
61105,False
24065,False
65933,False
24388,False
11968,False
738,False
23589,False
53184,False
17722,False
25185,False
49689,False
14213,True
317,False
13489,False
23522,False
25562,False
26956,False
39721,False
29375,False
32137,False
9868,False
53423,False
24484,False
50233,False
12001,False
33879,False
20120,False
29394,False
62740,False
60217,False
898,False
16518,False
31245,False
34851,False
44194,False
28181,False
53528,False
29444,False
22787,False
54067,False
18055,False
53541,False
62388,False
64870,False
352,False
13024,False
29975,False
49504,False
38652,False
35439,False
48055,False
53544,False
53587,False
53590,False
12016,False
53723,False
22881,True
29474,True
4746,False
23296,False
18957,False
20471,False
31874,False
35187,False
35385,False
37165,False
37466,False
50804,False
50953,False
28530,False
52241,False
2129,False
204,False
14707,False
56279,False
29529,True
2253,False
26729,False
11978,False
13460,False
13752,False
19339,False
22869,False
29782,False
53040,False
53122,False
16291,False
53649,False
53674,False
65225,False
53699,False
29608,False
53725,False
15314,False
24655,False
31059,False
23452,False
53736,False
15157,False
53737,False
53740,False
53746,False
12131,False
14963,False
53543,False
55128,False
524,False
30478,True
62408,False
29989,False
29651,False
12970,False
13834,False
19392,False
34212,False
59661,False
15468,False
16046,False
63110,False
53748,False
53784,False
63942,False
53840,False
12173,False
31813,False
29677,True
31890,False
2904,False
10332,False
11643,False
29246,False
44233,False
53817,False
23683,False
13011,True
53822,False
12174,False
16390,False
18551,False
53845,False
29737,True
53894,False
39419,False
59149,False
13204,False
17080,False
29803,False
35314,False
37677,False
53292,False
53644,False
65577,False
53905,False
66372,False
54157,False
12216,False
54265,False
1797,False
2201,False
32451,False
35656,False
53939,False
53941,False
58207,False
53949,False
48710,False
48303,False
12252,False
46535,False
53955,False
53969,False
30843,False
50376,False
54016,False
64444,False
49598,False
53670,False
53979,False
53997,False
53998,False
53999,False
36768,False
54000,False
23016,False
666,False
28962,False
12303,False
12996,True
23699,True
47010,False
16762,False
28520,False
37937,False
54047,False
59433,False
50813,False
62845,False
22919,False
49260,False
18619,False
44254,False
20450,False
65257,False
29821,True
46111,False
1529,False
2063,False
11735,False
21707,False
32713,False
36344,False
26342,False
29114,False
66373,False
13054,True
29350,False
60259,False
23034,False
12402,True
17446,False
32840,False
35237,False
47917,False
65352,False
28587,False
13110,False
42231,True
55392,False
53293,False
54089,False
54090,False
54105,False
44490,False
5200,False
12412,False
29859,True
12959,False
13813,False
18969,False
29132,False
37955,False
48490,False
29878,True
67191,False
12452,True
13146,False
51861,False
52538,False
52625,False
1252,False
25532,False
56781,False
4377,False
8819,False
28451,False
9390,False
29218,False
30635,True
18214,False
52504,False
54111,False
54127,False
54149,False
20148,False
29896,True
12479,False
64094,False
2455,False
63115,False
48048,False
31761,False
2755,False
8927,False
9013,False
18777,False
31495,False
37314,False
52611,False
53003,False
30111,True
65139,False
24301,False
2228,False
2360,False
28651,False
31546,False
33745,False
34757,False
41730,False
50640,False
50940,False
22012,False
50066,False
51707,False
54177,False
32969,False
65230,False
54225,False
29914,False
65140,False
65138,False
45997,False
5314,False
11602,False
12934,False
26049,False
34067,False
36800,False
37943,False
23635,False
51862,False
18563,True
53367,False
23977,False
12564,False
50727,False
33079,True
30005,True
3018,False
11757,False
25649,False
32005,False
37132,False
66333,False
44294,False
54229,False
724,False
33834,False
54230,False
20208,False
40153,False
54699,False
50392,False
58880,False
54263,False
2363,False
9041,False
11217,False
18017,False
38527,False
11715,False
49978,False
23818,False
24032,False
21544,False
49386,False
65347,False
66420,False
704,False
50293,False
3182,False
26499,False
32183,False
31179,False
52873,False
26484,False
26524,False
13155,True
22260,False
354,False
1175,False
9149,False
10597,False
28015,False
31892,False
36060,False
39001,False
65358,False
24829,False
54924,False
54288,False
31783,False
63929,False
29943,False
19090,False
54340,False
66328,False
24363,False
50972,False
24104,False
47322,False
8404,False
8516,False
18966,False
36325,False
45690,False
65462,False
22564,True
26919,True
32378,False
54366,False
50638,False
24107,True
25109,False
27503,False
65349,False
12732,True
14839,False
23850,False
26313,False
39689,False
54370,False
54431,False
54442,False
30165,True
30034,True
66456,False
15049,False
40281,False
3861,False
34091,True
66307,False
25652,False
13357,False
22539,False
26602,False
33275,False
35956,False
65229,False
22808,False
12752,True
52317,False
19474,True
54451,False
23223,False
65345,False
25276,False
24234,True
30241,True
558,False
1085,False
64728,False
19734,False
25032,False
28308,False
35476,False
65350,False
30307,False
42413,False
16196,False
54541,False
54562,False
12753,False
57160,False
47255,False
22947,True
29509,False
30041,False
5880,False
13671,False
20178,False
27842,False
31453,False
31861,False
16771,False
23230,False
12762,False
66500,False
66160,False
24408,False
30073,False
53238,False
52645,False
63385,False
15599,False
24709,False
39563,False
53117,False
53288,False
54621,False
61049,False
54645,False
54655,False
27614,False
52820,False
30087,False
1628,False
16023,False
26701,False
36305,False
54677,False
54703,False
66131,False
54713,False
49602,False
66334,False
27448,False
10014,False
26734,False
13697,False
26858,False
34267,False
37676,False
37824,False
38932,False
32322,False
12923,False
66565,False
26158,False
25402,True
16276,False
17954,False
20053,False
26736,False
31304,False
32875,False
36034,False
37967,False
52670,False
54750,False
13250,True
66428,False
24345,False
54786,False
32745,True
54820,False
65351,False
25374,False
77,False
65851,False
66161,False
504,False
10472,False
26550,False
29477,False
30999,False
38752,False
54822,False
54823,False
54827,False
48283,False
21532,False
24915,False
24534,False
24733,False
40703,False
21445,False
28748,False
31299,False
65237,False
54926,False
54937,False
53977,False
12941,True
54969,False
54970,False
57424,False
64240,False
41894,False
30183,True
12704,False
35622,False
36979,False
38089,False
50590,False
50978,False
50091,False
54972,False
23270,False
54998,False
66318,False
44244,False
26125,False
44656,False
27961,False
9256,False
14980,False
22448,False
36960,False
38184,False
54999,False
7591,False
270,False
13272,True
23275,True
55016,False
55040,False
61268,False
7468,False
13236,False
14696,False
18919,False
30052,False
42615,False
58118,False
65977,False
17712,False
55066,False
55085,False
63299,False
12990,True
65661,False
37769,False
464,False
12948,False
16497,False
17536,False
35477,False
44188,False
30244,False
55099,False
55116,False
22847,False
62949,False
55120,False
3100,False
22143,True
13005,True
35393,False
59094,False
10846,False
24814,False
32831,False
55145,False
64258,False
55169,False
53812,False
50480,False
19255,False
66457,False
24692,False
30287,True
18792,False
23392,False
28334,False
35058,False
42051,False
55222,False
13066,True
25139,False
66201,False
28127,False
64333,False
59207,False
30306,False
49850,False
55236,False
20624,False
22910,False
26671,False
33945,False
22561,False
25265,False
65353,False
33718,True
24124,False
66502,False
24972,False
26670,False
39462,False
17802,False
20622,False
