"account_id","churn"
55939,False
47741,False
57611,False
55645,False
176,False
45643,False
44640,False
57395,False
699,False
56250,False
230,False
54822,False
351,False
59211,False
11683,False
2720,False
238,False
227,False
278,False
127,False
368,False
271,False
302,False
155,False
54288,False
293,False
54065,False
40499,False
55567,False
47365,False
17164,False
45410,False
23853,False
15049,False
52576,False
60829,False
2114,False
54645,False
44058,False
47852,False
63796,False
53704,False
57356,False
41962,False
16327,False
35266,False
16291,False
51125,False
2232,False
159,False
353,False
506,False
55116,False
411,False
43727,False
505,False
286,False
17342,True
54968,False
18215,False
59255,False
17893,False
45519,False
50774,False
55572,False
44142,False
60245,False
30655,False
52725,False
44096,False
58682,False
37920,False
60037,False
56380,False
53735,False
55646,False
42156,False
55250,False
54385,False
59817,False
56636,False
37242,False
57118,False
54655,False
44102,False
35777,False
54657,False
49470,False
56113,False
15962,False
44085,False
28716,False
30605,False
44098,False
45683,False
29267,False
579,False
55741,False
63588,False
43308,False
15210,False
31528,False
54090,False
58064,False
52609,False
59748,False
24402,False
8677,False
59749,False
44127,False
1137,False
59746,False
56685,False
59936,False
253,False
22678,False
17430,False
22895,False
54562,False
50870,False
43276,False
547,False
602,False
52799,False
51678,False
52724,False
62989,False
57896,False
63288,False
63484,False
16366,True
30765,False
45783,False
55751,False
63684,False
54602,False
54969,False
629,False
17598,False
45740,False
42180,False
52294,False
1491,False
44432,False
61495,False
60694,False
51800,False
52847,False
60042,False
63513,False
50816,False
35488,False
53737,False
53634,False
51690,False
534,False
56733,False
665,False
55251,False
61693,False
63338,False
62258,False
62826,False
18213,True
61069,False
45832,False
64010,False
49529,False
44146,False
62606,False
17710,False
53228,False
52980,False
49371,False
59609,False
61315,False
32987,False
61641,False
60104,False
32315,False
55628,False
1645,False
54971,False
16395,False
29033,False
58209,False
49533,False
53344,False
15469,False
50873,False
20746,False
53721,False
53170,False
56612,False
52962,False
19702,True
53587,False
1759,False
36037,False
21974,False
46465,False
45869,False
42116,False
16347,False
47726,False
28052,False
53722,False
50600,False
17687,False
45970,False
45778,False
25536,False
996,False
2939,False
37481,False
11458,False
52635,False
20854,False
34514,False
42360,False
45459,False
34039,False
52798,False
51370,False
62570,False
47006,False
52845,False
4064,False
52616,False
576,False
53723,False
39889,False
377,False
198,False
53725,False
44454,False
18284,True
50878,False
55896,False
60116,False
59039,False
59567,False
56424,False
52722,False
52232,False
396,False
59724,False
60186,False
60163,False
48203,False
6932,False
58703,False
197,False
51670,False
60976,False
50841,False
53049,False
52963,False
341,False
30033,False
49013,False
295,False
1262,False
50752,False
659,False
45529,False
62028,False
60909,False
45611,False
1478,False
52750,False
1165,False
59790,False
51304,False
53264,False
1842,False
34130,False
3307,False
61642,False
53590,False
57503,False
57913,False
55592,False
400,False
60495,False
823,False
57329,False
11866,False
59411,False
44796,False
60662,False
54736,False
50272,False
50947,False
46371,False
45873,False
53949,False
2118,False
51913,False
59403,False
55769,False
34824,False
46600,False
62687,False
54374,False
50376,False
16457,False
715,False
45800,False
55066,False
45232,False
61281,False
16919,False
58884,False
44319,False
17818,False
63399,False
62667,False
1028,False
17840,False
52723,False
58962,False
57672,False
45034,False
51914,False
5089,False
18671,True
46016,False
2495,False
64012,False
16819,False
63951,False
55095,False
59050,False
64011,False
1058,False
51044,False
62160,False
1134,False
61053,False
48248,False
54341,False
32980,False
52599,False
63126,False
55602,False
40955,False
40954,False
17988,True
1565,False
49318,False
55502,False
41890,False
414,False
45741,False
49937,False
14214,False
55806,False
757,False
27430,False
51019,False
50975,False
37425,False
52600,False
43414,False
51774,False
47616,False
1180,False
2119,False
55954,False
50475,False
51202,False
17268,False
58687,False
61282,False
36809,False
56195,False
49884,False
23578,False
51093,False
55403,False
58761,False
39690,False
50874,False
56194,False
63504,False
54703,False
51907,False
18911,False
56761,False
32303,False
37397,False
1083,False
1012,False
2318,False
46392,False
1893,False
39003,False
8627,False
55656,False
52197,False
1187,False
3075,False
59224,False
61082,False
59290,False
63858,False
1710,False
54583,False
2647,False
500,False
45621,False
13426,False
45622,False
33270,False
46984,False
52721,False
17302,False
1184,False
54000,False
57557,False
37847,False
40593,False
16748,False
1805,False
53359,False
1536,False
1610,False
33157,False
56762,False
1852,False
9227,False
44322,False
57741,False
57920,False
55934,False
61108,False
19535,False
60656,False
40973,False
59763,False
16704,True
16575,False
39897,False
46082,False
37184,False
52198,False
28642,False
49398,False
1220,False
58292,False
46153,False
53905,False
1322,False
1905,False
35015,False
51317,False
17998,False
39184,False
59774,False
52719,False
52886,False
44246,False
58492,False
765,False
33138,False
745,False
58333,False
56806,False
46892,False
59291,False
1062,False
59712,False
37087,False
46759,False
63467,False
42591,False
56049,False
53106,False
62077,False
19708,True
59441,False
18052,False
32209,False
47518,False
19700,False
35757,False
63092,False
51237,False
58688,False
42927,False
6070,False
44714,False
20323,False
39041,False
40682,False
53997,False
35905,False
52522,False
4980,False
1383,False
1061,False
44118,False
32050,False
892,False
46291,False
51630,False
43751,False
56586,False
1762,False
36937,False
1040,False
52592,False
797,False
56061,False
17028,True
1104,False
63899,False
52718,False
52229,False
55081,False
60149,False
59775,False
57504,False
46075,False
378,False
62699,False
45661,False
36290,False
56476,False
50090,False
48181,False
30130,False
18061,False
61296,False
54109,False
53412,False
1344,False
40024,False
1348,False
1476,False
52901,False
56523,False
1609,False
50802,False
50464,False
62532,False
